"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Friday",1793.98385041826
"2","member","Friday",743.808078498708
"3","casual","Monday",1801.84821237422
"4","member","Monday",713.645699561591
"5","casual","Saturday",2094.26277213538
"6","member","Saturday",846.113593149678
"7","casual","Sunday",2181.04786837594
"8","member","Sunday",838.948930868598
"9","casual","Thursday",1588.35893635637
"10","member","Thursday",725.327326458366
"11","casual","Tuesday",1653.73115047866
"12","member","Tuesday",721.729870745879
"13","casual","Wednesday",1560.6770757138
"14","member","Wednesday",717.514048142309
